company,careers_url,ats,slug,evidence,error
Ring,https://www.ring.com/careers,amazon,amazon,followed link https://www.amazon.jobs/content/en/career-programs/hourly-jo → https://www.amazon.jobs/content/en/hourly,
RingCentral,https://www.ringcentral.com/careers,workday,ringcentral.wd1.myworkdayjobs.com,page load: https://www.ringcentral.com/company/careers/overview.html,
Rippling,https://www.rippling.com/careers,rippling,rippling,followed link https://www.rippling.com/careers/open-roles → https://www.rippling.com/careers/open-roles,
Riverside.fm,https://www.riversidefm.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.riversidefm.com/careers"", waiting until ""d"
Rocket Money,https://www.rocket-money.com/careers,unknown,,,
Sakara Life,https://www.sakara-life.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.sakara-life.com/careers
Call log:
  - navigating to ""https://www.sa"
Sastrify,https://www.sastrify.com/careers,personio,personio,page load: https://www.sastrify.com/careers,
Sequoia Consulting,https://www.sequoia-consulting.com/careers,error,,,"Page.goto: net::ERR_SSL_UNRECOGNIZED_NAME_ALERT at https://www.sequoia-consulting.com/careers
Call log:
  - navigating t"
Shippo,https://www.shippo.com/careers,rippling,shippo,followed link https://goshippo.com/jobs → https://goshippo.com/jobs,
Simple,https://www.simple.com/careers,error,,,"Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.simple.com/careers
Call log:
  - navigating to ""https://www.simp"
Slack,https://www.slack.com/careers,workday,salesforce.wd12.myworkdayjobs.com,page load: https://slack.com/careers,
Splendid Spoon,https://www.splendid-spoon.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.splendid-spoon.com/careers
Call log:
  - navigating to ""https://www"
Square,https://www.square.com/careers,unknown,,,
Square (Block),https://block.xyz/careers,greenhouse,block,followed link https://block.xyz/careers/jobs/5264896008 → https://block.xyz/careers/jobs/5264896008,
Square POS,https://www.square-pos.com/careers,unknown,,,
Synapse,https://www.synapse.com/careers,unknown,,,
Synchrony,https://www.synchrony.com/careers,error,,,"Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.synchrony.com/careers
Call log:
  - navigating to ""https://www.s"
Tability,https://www.tability.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.tability.com/careers"", waiting until ""domc"
Tally,https://www.tally.com/careers,error,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.tally.com/careers
Call log:
  - navigating to ""https://www.t"
Tally Technologies,https://www.tally-technologies.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.tally-technologies.com/careers
Call log:
  - navigating to ""https:/"
Teamblind,https://www.teamblind.com/careers,unknown,,,
Tenable,https://www.tenable.com/careers,greenhouse,tenableinc,page load: https://www.tenable.com/careers,
Tesla Energy,https://www.tesla-energy.com/careers,unknown,,,
Toast POS,https://www.toast-pos.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.toast-pos.com/careers"", waiting until ""dom"
Transit App,https://www.transit-app.com/careers,unknown,,,
TriNet,https://www.trinet.com/careers,unknown,,,
Trim,https://www.trim.com/careers,error,,,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.trim.com/careers
Call log:
  - navigating to ""https://www.tr"
Triplebyte,https://www.triplebyte.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.triplebyte.com/careers
Call log:
  - navigating to ""https://www.tri"
Tropic,https://www.tropic.com/careers,unknown,,,
Truebill (Rocket Money),https://www.truebill-rocket-money.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.truebill-rocket-money.com/careers
Call log:
  - navigating to ""http"
Truework,https://www.truework.com/careers,unknown,,,
Varo Bank,https://www.varo-bank.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.varo-bank.com/careers
Call log:
  - navigating to ""https://www.varo"
Veho,https://www.veho.com/careers,error,,,"Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.veho.com/careers
Call log:
  - navigating to ""https://www.veho.c"
Velocity Global,https://www.velocity-global.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.velocity-global.com/careers"", waiting unti"
Voltage Park,https://www.voltage-park.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.voltage-park.com/careers
Call log:
  - navigating to ""https://www.v"
We Work Remotely,https://www.we-work-remotely.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.we-work-remotely.com/careers
Call log:
  - navigating to ""https://w"
Weights & Biases,https://wandb.ai/site/careers,lever,wandb,followed link https://wandb.ai/site/ko/careers/ → https://wandb.ai/site/ko/careers/,
Wise Transfer,https://www.wise-transfer.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.wise-transfer.com/careers
Call log:
  - navigating to ""https://www."
Wix,https://www.wix.com/jobs/locations/tel-aviv,smartrecruiters,Wix2,followed link https://careers.wix.com/position/oracle-eb4f7eac-91ce-5bdb-8 → https://careers.wix.com/position/oracle-eb4f7eac-91ce-5bdb-8f96-3a4f5b36bf32-T17,
Wyze,https://www.wyze.com/careers,unknown,,,
Xata,https://www.xata.com/careers,error,,,"Page.goto: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https://www.xata.com/careers
Call log:
  - navigating to ""https://"
Xoom,https://www.xoom.com/careers,eightfold,paypal.eightfold.ai/careers,followed link https://www.xoom.com/about/careers → https://careers.pypl.com/home/,
Zip Co,https://www.zip-co.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.zip-co.com/careers"", waiting until ""domcon"
dbt Labs,https://www.dbt-labs.com/careers,unknown,,,
ironSource,https://www.ironsource.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.ironsource.com/careers
Call log:
  - navigating to ""https://www.iro"
ADP,https://www.adp.com/careers,unknown,,,
Adept AI,https://www.adept.ai/careers,unknown,,,
Akiflow,https://www.akiflow.com/careers,unknown,,,
Albert,https://www.albert.com/careers,unknown,,,
Aleph Farms,https://www.aleph-farms.com/careers,unknown,,,
AllTrails,https://www.alltrails.com/careers,unknown,,,
Argyle,https://www.argyle.com/careers,rippling,argyle,page load: https://www.argyle.com/careers,
Aspiration,https://www.aspiration.com/careers,unknown,,,
Atlassian,https://www.atlassian.com/company/careers,unknown,,,
Avant,https://www.avant.com/careers/,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.avant.com/careers/
Call log:
  - navigating to ""https://www.ava"
BentoBox,https://www.bentobox.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.bentobox.com/careers
Call log:
  - navigating to ""https://www.b"
Betterworks,https://www.betterworks.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.betterworks.com/careers
Call log:
  - navigating to ""https://ww"
Blue Apron,https://www.blue-apron.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.blue-apron.com/careers
Call log:
  - navigating to ""https://www"
Bonsai,https://www.bonsai.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.bonsai.com/careers
Call log:
  - navigating to ""https://www.bon"
Bonusly,https://www.bonusly.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.bonusly.com/careers
Call log:
  - navigating to ""https://www.bo"
Boom Supersonic,https://www.boom-supersonic.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.boom-supersonic.com/careers
Call log:
  - navigating to ""https:"
Cake Equity,https://www.cake-equity.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.cake-equity.com/careers
Call log:
  - navigating to ""https://ww"
Canva,https://www.canva.com/careers/,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.canva.com/careers/
Call log:
  - navigating to ""https://www.can"
Cap Table,https://www.cap-table.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.cap-table.com/careers
Call log:
  - navigating to ""https://www."
CarMax,https://www.carmax.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.carmax.com/careers
Call log:
  - navigating to ""https://www.car"
Care.com,https://www.care.com/en-us/about/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.care.com/en-us/about/careers
Call log:
  - navigating to ""https"
Carvana,https://www.carvana.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.carvana.com/careers
Call log:
  - navigating to ""https://www.ca"
Chainalysis,https://www.chainalysis.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.chainalysis.com/careers
Call log:
  - navigating to ""https://ww"
Cheese,https://www.cheese.com/careers,error,,,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://www.cheese.com/careers
Call log:
  - navigating to ""https://www.che"
